text,predicate_answer,framenet_answer
On the inheritance of poly- and PHENOTYPE in GENE.,3,5
Uric acid production of GENE PHENOTYPE graded amounts of egg protein and yeast nucleic acid.,2,5
The highest frequency of SIDE_EFFECT was found in colonies in which breeding mice are housed in proximity to mice inoculated with polyoma virus or passage PHENOTYPE.,2,5
The effect of GENE temperature on the binding of alkylating agents in the isolation perfusion treatment of PHENOTYPE.,6,4
A rare cause of stricture of PHENOTYPE; SIDE_EFFECT.,3,5
Hemodynamic and PHENOTYPE during operations on the thoracic GENE in experimental conditions.,3,5
Indole as an activator for in vitro PHENOTYPE of GENE fibers in the assembly of bacteriophage T4D.,2,5
METABOLITE PHENOTYPE.,3,5
Optical rotatory FINDINGS of soluble feather GENE.,2,5
Effects of acute and chronic denervation of the hind GENE of the dog on the blood flow responses in the vascular beds of GENE and muscle to adrenergic drugs.,3,5
Capacity of some METABOLITE derivatives to induce BIOLOGICAL_PROCESS and to modify cerebral dopamine.,21,0
Studies on the occurrence in human GENE of GENE fixing antibodies to contagious canine hepatitis virus.,2,5
Isozymes of alanine aminotransferase in the gingiva and GENE of scorbutic guinea GENE.,2,5
The estimation of GENEic gonadotrophin in GENE tissue and urine as a means of early detection of invasive mole and GENE carcinoma.,3,5
Tuberculin type PHENOTYPE to spinal cord antigen in rabbits with isoallergic PHENOTYPE.,13,2
The dose-response relations of COMPOUND in SIDE_EFFECT.,6,4
Changes in hypothalamic luteinizing hormone releasing factor (SIDE_EFFECT) in the female GENE during puberty.,6,4
The early distal COMPOUND concentration in rat GENE after renal ischemia and hemorrhagic hypotension. A contribution on the pathogenesis of the postischemic and posthemorrhagic decrease of the filtrate.,3,5
A study on the virus aetiology of GENE respiratory infections in the primary FINDINGS.,1,3
Serum amylase GENE above normal in five of 27 patients on whom this determination GENE carried out.,3,5
The effect in vivo of thyroxine on acyl GENE GENE liver and muscle.,2,5
Prevention of hormona eosinopenia and lymphopenia by inhibition of SIDE_EFFECT in GENE; preliminary report.,3,5
Effect of secretin and pancreozymin on GENE and alkaline GENE dog's pancreas.,2,5
Calcium and COMPOUND changes in bone associated with continuous administration of stable COMPOUND to rats.,14,4
Differential diagnosis of organic PHENOTYPE and PHENOTYPE in aged patients.,1,3
The relation between the state of the juxtaglomerular apparatus and aldosterone PHENOTYPE in certain diseases characterized by PHENOTYPE.,7,6
Interrelations between thyroxin and METABOLITE in the regulation of oxygen PHENOTYPE in the albino rat.,13,2
Plasma and tissue proteins produced by non-hepatic GENE organs as studied with lysine-epsilon-C14; gamma globulins the chief MOLE_FUNCTION fraction produced by non-hepatic tissues.,2,5
Failure of anti-histaminic drugs to antagonise the anemia produced by GENE plus COMPOUND.,12,2
Conduct of PHENOTYPE and resuscitation in emergency surgery of total hypertensive staphylococcic PHENOTYPE in infants.,1,3
Indications and PHENOTYPE of tracheotomy in PHENOTYPE in children.,1,3
The effect of water by vein on the more severe PHENOTYPE of cardiovascular-renal PHENOTYPE.,13,2
Behavior of cholesterol in the blood and GENE tissue in women treated with diphenesenic GENE during the premenopause and menopause.,3,5
Subcutaneous METABOLITE PHENOTYPE; excision without visible scar.,3,5
Use of the midnight COMPOUND suppression test showed that the plasma 11-hydroxycorticosteroid (11-O.H.C.S.) level did not undergo its normal reduction in 14 out of 27 patients with PHENOTYPE.,1,3
Effect of ether anesthesia and of medicinal BIOLOGICAL_PROCESS on the development of SIDE_EFFECT of the pharyngeal mucosa in rabbits.,1,3
Effect of intravenous COMPOUND on anuria and oliguria associated with the toxemias GENE.,13,2
Role of amino acids in the initiation of hormonal secretion. II. Effects of amino acids on PHENOTYPE and ascorbic acid content of the adrenal glands. Effects of amino acid PHENOTYPE on corticosteroid excretion.,13,2
Studies on central flicker fusion frequency in patients with PHENOTYPE and SIDE_EFFECT stagnatum.,1,3
Radiological aspects of isolated SIDE_EFFECT of intervertebral disk and of posttrumatic SIDE_EFFECT.,3,5
A note on the binding of COMPOUND to GENE diaphragm.,2,5
Effect of COMPOUND and COMPOUND on the bones of bilaterally adrenalectomized female rats.,3,5
Quantitative measurement of GENE GENE by needle biopsy.,2,5
Effect of source and level of dietary GENE on liver enzyme systems in the young GENE.,3,5
Effect of GENE treatment in PHENOTYPE caused by immobilization of extremities.,12,2
Immediate spirocheticidal effect of COMPOUND per os and of three bismuth preparations in PHENOTYPE; action of bismuth propyloldimercaptide.,11,2
Effect of the section of abdominal nerves and removal of the first and second lumbar sympathetic ganglions on the renal PHENOTYPE in PHENOTYPE.,6,4
The use of streptomycin and COMPOUND for infectious SIDE_EFFECT in Turkeys.,1,3
Influence of COMPOUND on the in vitro BIOLOGICAL_PROCESS of glucose in epididymal adipose tissue from mice.,5,3
O2 pressure and O2 saturtion in the determination of COMPOUND loading of the blood with special reference to direct O2 pressure measurements with the stabilized whole GENE platinum electrode.,9,4
Electron microscopic study of the abdominal GENE of the young GENE infected with original swine pox.,2,5
Action of COMPOUND on the thyroid gland of the intact and of the castrated male guinea GENE.,3,5
On the effect of METABOLITE (METABOLITE) and colimycin on dysenterial infection.,8,5
Fate of glucose in isolated GENE spinal cord and diaphragm incubated in the absence and presence of GENE.,2,5
Atelectatic SIDE_EFFECT of the right middle GENE.,3,5
It GENE found that mycelial PHENOTYPE could be circumvented by operational means during continuous culture using the following technique: Two interchangeable 24-liter stages were installed at the front end of the nine-stage system and connected in parallel with the latter.,1,3
Effects of oxytocin on GENE water and salt PHENOTYPE in rats.,1,3
Effect of SIDE_EFFECT and alkalosis on excretion of water and solutes during periods of hydropenia and of overhydration in dogs; current concepts of the mechanism of GENE concentration and dilution.,1,3
The GENE copper coefficient and other factors influencing the serum trace element level in Botkin's PHENOTYPE.,4,4
Hypernatremic hemorrhagic SIDE_EFFECT in GENE.,1,3
Nosographic position of PHENOTYPE; effect of METABOLITE therapy.,9,4
Possibilities of clinical use of COMPOUND in SIDE_EFFECT tuberculosis patients.,6,4
Acute SIDE_EFFECT in a haemophiliac; due to transfusion of incompatible GENE.,1,3
Effect of GENE on membrane potential in frog GENE.,2,5
METABOLITE in the cerebrospinal fluid and GENE of dogs after intravenous administration of hypertonic solutions.,2,5
Development of PHENOTYPE in pitressin therapy of GENE with partial anterior pituitary gland insufficiency.,6,4
New viewpoints in the evaluation of roentgenotherapy of genital carcinoma; reaction of the serous GENE in genital PHENOTYPE.,7,6
On the treatment of stenocardia PHENOTYPE following heart PHENOTYPE.,8,5
Studies on the relationships of postmortem chloride and COMPOUND concentration in cerebrospinal fluid and plasma to the time and cause of SIDE_EFFECT.,3,5
Lactic acid & lactic GENE activity in the blood of patients with SIDE_EFFECT.,1,3
A method for the recovery and use of GENE from the open heart during extracorporeal circulation in GENE.,6,4
Rats were PHENOTYPE ethanol for 2 weeks along with diets either adequate or deficient in GENE and choline.,7,6
Further studies on COMPOUND synthetase-serine deaminase of rat GENE.,2,5
The evidence presented indicates that in its native state in GENE METABOLITE is either bound or its anionic groups are not entirely free.,3,5
A Modified oxidase assay for low concentrations of GENE in GENE and other biological fluids.,3,5
Total GENE PHENOTYPE through a persistent left superior vena cava.,1,3
Therapy of diseases with fever to combat PHENOTYPE and PHENOTYPE.,6,4
The buffering of GENE in PHENOTYPE; protein.,2,5
Optical anisotropy and mechanical BIOLOGICAL_PROCESS of smooth muscle of the longitudinal layer of GENE ileum.,2,5
Azathioprine effect on normal canine GENE and GENE function.,2,5
Changes in plasma glucose level and GENE glutamic oxalacetic transaminase activity in acute PHENOTYPE and inappetence in pigs.,1,3
It is concluded that addition of 0.1mm-ouabain to guinea-pig cerebral cortex slices causes inhibition of either glyceraldehyde 3-phosphate GENE or GENE or both.,19,0
Glucuronides of METABOLITE in hepatic PHENOTYPE (clinical and experimental research).,11,2
Improved PHENOTYPE for histological demonstration of glycogen and comparison with chemical determination in GENE.,3,5
Tissue culture of GENE and PHENOTYPE.,2,5
Rapid PHENOTYPE of GENE in Saccharomyces cerevisiae during gamma irradiation correlated with catalase formation.,3,5
Meningoencephalic PHENOTYPE in SIDE_EFFECT.,7,6
Studies of GENE BIOLOGICAL_PROCESS in three pumping systems used in extracorporeal circulation.,3,5
Advantage of corticoid and antihistaminic PHENOTYPE in the treatment of exogenous PHENOTYPE.,6,4
The acute PHENOTYPE and disposition of GENE (HPL) have been studied in 15 men and 8 women during continuous intravenous infusions.,3,5
Sonne SIDE_EFFECT; a comparison of the duration of SIDE_EFFECT in hospital and general practice.,8,5
SIDE_EFFECT of the appendix simulating PHENOTYPE.,2,5
2 unusual PHENOTYPE in one patient: intraluminal esophageal tumor and PHENOTYPE of the mediastinum.,1,3
On the influence of the extracellular Ca concentration on membrane potential and PHENOTYPE of isolated GENE preparations during graded depolarization.,7,6
Results of the treatment of pulmonary tuberculosis with the preparation napashin with regard to the preservation of METABOLITE PHENOTYPE in bacilli.,3,5
Rare form of PHENOTYPE PHENOTYPE on the scapula.,3,5
Note on the fate of secretin in GENE GENE.,11,2
METABOLITE therapy of PHENOTYPE in children.,9,4
Effect of cortisone and METABOLITE on PHENOTYPE of radioactive potassium in the adrenalectomized rat.,6,4
Use of COMPOUND in surgical PHENOTYPE in gynecology.,8,5
Rupture of SIDE_EFFECT of the spleen in SIDE_EFFECT.,2,5
Since the clinical manifestations in infants with PHENOTYPE or stenosis are almost identical to those associated with the obstructive phase of PHENOTYPE.,1,3
Characteristics of the course of focal PHENOTYPE in patients with PHENOTYPE.,1,3
Clinical PHENOTYPE with COMPOUND therapy.,9,4
Effect of somatotropin (GENE) on the maternal organism during SIDE_EFFECT.,3,5
The effect of tartaric acid upon the hydrolytic and transferase activity of the acid GENE GENE.,2,5
Frozen syphilomatous rabbit PHENOTYPE as source of Treponema pallidum for the immobilization (TPI) test for SIDE_EFFECT.,2,5
The decomposition of serologically specific H substance isolated from pig GENE and human ovarian cyst fluids by an enzyme preparation obtained from Closteridium welchii (GENE.).,2,5
Non-appearance of vascular histogenic reactions of experimental PHENOTYPE in METABOLITE transplants without medullary substance.,3,5
A case of fascioliasis (PHENOTYPE) hepatica with possible pulmonary FINDINGS localization.,8,5
Inhibition of aspartase from the blood GENE of guinea GENE.,3,5
1962.-The PHENOTYPE of type 5 PHENOTYPE in HeLa cells was suppressed to a considerable extent by low concentrations of proflavine.,3,5
Action of Vichy (Grande Grille) METABOLITE on bladder motricity; clinical studies in GENE under cholecystographic control.,6,4
Neither system was influenced by probenecid (benemid) in doses which markedly PHENOTYPE the simultaneous PHENOTYPE rate of p-aminohippuric acid.,13,2
Potentiation of GENE by dimercaptopropanol (GENE) and other inhibitors of its destroying enzyme in plasma.,3,5
The influence of dietary fats on GENE and platelet lipids and ADP induced platelet SIDE_EFFECT in the rat.,1,3
Effects of COMPOUND phenylpyruvate on GENE amino acids.,2,5
The method of fractionated pressure and localization of COMPOUND in hepatic GENE.,3,5
Some unusual clinical features associated with malignant tumors. GENE. On polycythaemia secondary to PHENOTYPE.,12,2
Comparison of the social setting and BIOLOGICAL_PROCESS of patients with PHENOTYPE.,1,3
The effect of METABOLITE on PHENOTYPE; photographic study.,13,2
Tumors of the nose and METABOLITE accessory PHENOTYPE.,2,5
Prevention of amblyopia and restoration of PHENOTYPE in unilateral GENE.,7,6
Plasma disappearance rate and tissue PHENOTYPE of radioactive cobalt labelled METABOLITE injected into various animals.,14,4
Electrolytic precipitation of COMPOUND in the jaw; an unusual PHENOTYPE after root resection.,3,5
Beta-adrenergic effects and their time course under the influence of COMPOUND and METABOLITE on the Langendorff heart.,3,5
Treatment and results in PHENOTYPE in SIDE_EFFECT.,6,4
Critical judgment of the medico-surgical treatment of GENE PHENOTYPE.,2,5
Molecular characteristics of GENE liver GENE.,2,5
The enzymes whGENEch catalyze reactGENEons of METABOLITE occur GENEn three prGENEncGENEple classes: (GENE) oxygen transferases.,5,3
The undiscovered PHENOTYPE of the arteria meningea GENE.,3,5
Physiologic variation of renal function in twins: SIDE_EFFECT after METABOLITE intake.,10,3
Wolff-Parkinson-White's syndrome with COMPOUND sensitivity in a child with PHENOTYPE.,1,3
Reversible change in physical state of GENE induced by GENE ion.,20,0
Long-chain acyl-CoA synthetase in GENE GENE.,2,5
Effect of dilution during fractionation and extraction of GENE and lymph GENE.,2,5
Generalized PHENOTYPE (GENE) in pigs.,1,3
Lessons from GENE COMPOUND studies in Japan.,3,5
Pneumoconiosis: review of 717 cases of GENE PHENOTYPE.,3,5
The short-term BIOLOGICAL_PROCESS of auditory and visual two-channel digits by elderly patients with PHENOTYPE.,1,3
Development of the COMPOUND content of tissues of the fluoroacetate-injected & irradiated GENE.,2,5
Low electrical skin resistance in the region of GENE in GENEful SIDE_EFFECT.,11,2
Congenital PHENOTYPE of the ileum; report of a case with ante-natal PHENOTYPE of the proximal bowel.,3,5
The effect of the main nutrients and GENE on lipoprotein lipase activity in adipose GENE.,3,5
A correlated histochemical and quantitative study on cerebral GENE after SIDE_EFFECT in the rat.,3,5
Effects of acute systemic GENE on the coronary PHENOTYPE and flow in the dog.,1,3
Effects of COMPOUND diuretics on renal tubular transport of PAH and COMPOUND conjugation of PABA.,5,3
Operative treatment of GENE PHENOTYPE of the chest.,3,5
Catecholamines or serotonin did not appear to be key mediators in the primary vascular effect of endotoxin as COMPOUND and COMPOUND administration did not appreciably modify the response.,13,2
Metabolism of COMPOUND by the rabbit GENE.,2,5
Acetabular bone; case of calcified PHENOTYPE of cotyloid PHENOTYPE in adult.,1,3
It hGENEs been shown; (GENE) thGENEt singly isolGENEted GENE explGENEnts were incGENEpGENEble of lymphoid regenerGENEtion.,2,5
Spontaneous PHENOTYPE of PHENOTYPE during jaundice due to virus hepatitis.,7,6
Biological synthesis of oxaloacetic acid from COMPOUND and carbon dioxide: The mechanism of BIOLOGICAL_PROCESS in propionic acid bacteria.,1,3
Paroxysmal SIDE_EFFECT with SIDE_EFFECT and infarction-like changes on electrocardiogram in a 2 1/2 year old child.,1,3
Ligation of the Inferior Vena Cava for Femoral SIDE_EFFECT with Pulmonary SIDE_EFFECT.,6,4
A comparison of some of the properties of the non-sedimentable and the sedimentable hyaluronidase prepaGENEion indicated that there was little difference between the two and that they both resembled lysosomal hyaluronidase from GENE GENE.,3,5
The effect of insulin on GENE metabolism in metabolically healthy and SIDE_EFFECT patients.,1,3
Clinical evaluation of tracheotomy in PHENOTYPE of SIDE_EFFECT.,6,4
Clinical and serological PHENOTYPE in treatment of syphilis with COMPOUND.,6,4
Studies on PHENOTYPE; relationship with sulfonamide SIDE_EFFECT.,1,3
The effect of serum from SIDE_EFFECT patients on the free fatty acid output of rat GENE slices.,1,3
The role of duodenal SIDE_EFFECT in the automatic GENE of the gastric acidity.,3,5
Study of C-reactive protein in PHENOTYPE PHENOTYPE.,11,2
Dynamic studies on COMPOUND and COMPOUND in urine in myopathies.,11,2
Lateral PHENOTYPE as a cause of SIDE_EFFECT.,12,2
Effect of GENE on renal function in isotonic SIDE_EFFECT in weaned rats.,1,3
Attempt to induce formation of PHENOTYPE with METABOLITE.,3,5
Erythroleukemic PHENOTYPE with predominantly erythremic terminal stage: development & PHENOTYPE.,8,5
The modification of intracranial pressure and electrolytes in the cerebrospinal fluid by GENE PHENOTYPE.,19,0
Laboratory investigations during treatment of patients with SIDE_EFFECT and SIDE_EFFECT.,1,3
The eventual degree of sensitivity attained by the animals GENE a resultant of two immunologic processes which occurred independently-tolerogenic effects of escaped chemical on the one hand and on the other the sensitizing effect of the local sensitizing depot of GENE bound in the ear tissue.,5,3
Dislocation of the hip combined with SIDE_EFFECT of the shaft of the femur on the same GENE.,7,6
Effects of METABOLITE (METABOLITE.,3,5
The combined use of COMPOUND and COMPOUND (benzedrine) sulfate in barbiturate intoxication.,11,2
The effect of lipotropic vitamins on PHENOTYPE of the liver in patients with nonspecific ulcerous SIDE_EFFECT.,13,2
SIDE_EFFECT with fatal outcome during oranil therapy of GENE.,6,4
(i) Reducing agents increase the activity of leucoGENE and GENE GENE.,2,5
Simple methods for improving the value of oximetry in the study of GENE oxygen PHENOTYPE.,3,5
Acute SIDE_EFFECT during attempted SIDE_EFFECT by chlorpromazine.,7,6
Determination of GENE (TPN) COMPOUND.,3,5
The use of aminophylline in respiratory depression and COMPOUND retention induced by oxygen inhalation in patients with PHENOTYPE.,1,3
Biopsies of the lung and atrial appendages in PHENOTYPE; correlation of data from GENE catheterization with pulmonary vascular lesions.,4,4
Serious complications of SIDE_EFFECT after SIDE_EFFECT.,10,3
This absorbed GENE still precipitated 140S-ab virus by virtue of still containing MOLE_FUNCTION reactive with the a-determinant site; however.,2,5
Studies on serum GENE (GENE) inhibition by tryptophan metabolities.,3,5
Response of preputial and METABOLITE glands of hypophysectomized rats to GENE.,2,5
The clinical entity of PHENOTYPE crural GENE; report of four cases.,3,5
Investigation of the immunologically active constituent of GENE of patients with SIDE_EFFECT.,2,5
The peripheral utilization of COMPOUND in essential PHENOTYPE.,11,2
The effect of COMPOUND on COMPOUND shock.,13,2
The effect of noradrenalin and angiotensin on kidney function and GENE renin level in a patient with secondary aldosteronism and PHENOTYPE.,1,3
Significance of some intestinal enzymes in duodenal contents and feces for the evaluation of the intestinal activity in chronic SIDE_EFFECT and SIDE_EFFECT.,7,6
Changes in the nitrogen BIOLOGICAL_PROCESS of the apple during the normal and ethylene-induced climacteric rise in rate of PHENOTYPE.,21,0
Content of trace elements in the blood in PHENOTYPE and PHENOTYPE.,11,2
Effect of COMPOUND on water-electrolyte BIOLOGICAL_PROCESS in patients with rheumatic heart disease complicated by circulatory insufficiency.,6,4
Hepatoscintillography with COMPOUND 131-labelled denatured human GENE.,2,5
The excretion of administered sodium COMPOUND by the conscious GENE.,1,3
Effect of alcohol on PHENOTYPE before and after treatment with COMPOUND.,9,4
Radiological aspects of GENE SIDE_EFFECT.,3,5
Changes in eating and BIOLOGICAL_PROCESS produced by partial amygdalar lesions in GENE.,1,3
Content of adrenaline and noradrenaline in the plasma during SIDE_EFFECT induced with COMPOUND in the dog.,6,4
The treatment of some PHENOTYPE with cortisone acetate and GENE.,6,4
Beef GENE esterase as a catalyst of acyl transfer to amino GENE esters.,2,5
Determination of deoxyribonucleic acid content of GENE muscle and myocardial PHENOTYPE in normal rats.,1,3
Case of SIDE_EFFECT treated by ACTH and METABOLITE.,6,4
Electrophoretic distribution of serum protein and GENE in the tuberculous GENE.,3,5
Effect of azo-dye carcinogenesis on enzymes concerned with METABOLITE synthesis in rat GENE.,5,3
Treatment of COMPOUND poisoning with COMPOUND and amiphenazole.,6,4
Results of COMPOUND therapy for PHENOTYPE at Bellevue Hospital.,6,4
Preliminary experiments on the effects of a Rauwolfia serpentina alkaloid (COMPOUND) in hypertension of the lesser PHENOTYPE.,8,5
The vaginal response of the spayed GENE to repeated injections of oestradiol METABOLITE given alone or preceded by progesterone.,14,4
The beneficial effects of methionine and methionine plus BAL in treatment of experimentally induced gold SIDE_EFFECT of animals suggests such combined therapy in the treatment of clinical complications of gold SIDE_EFFECT.,12,2
Tryptophan pyrrolase induced in human GENE by hydrocortisone: effect on excretion of COMPOUND.,21,0
Differential diagnosis in SIDE_EFFECT (Demonstrated by Bechterew's disease treated as PHENOTYPE in a young man).,4,4
Histological PHENOTYPE of glycogen in the retina of GENE and its consumption by light.,2,5
The reaction of glyceraldehydephosphate GENE with GENE+.,2,5
Cortisone and GENE in treatment of SIDE_EFFECT.,6,4
Effect of METABOLITE on respiration before and after treatment with COMPOUND.,9,4
It GENE concluded that those CR cells that contained T antigen at any given time represented (i) a few cells that subsequently produced V antigen and PHENOTYPE.,31,2
Effect of an artificial BIOLOGICAL_PROCESS agent in the treatment of PHENOTYPE.,6,4
The effect of upper partial plastic 1-7 and upper partial plastic 1-5 with lowering of the shoulder blade on GENE function; and at the same time a report on the appearance of new cavitations in the lower GENE after thoracoplasty.,3,5
Changes in the histological pattern of human SIDE_EFFECT after serial transplantation in the anterior chamber of eyes of guinea GENE.,3,5
Studies on incisor pigmentation in relation to liver GENE and blood picture in the white rat; the effect of GENE deficiency on the pigmentation of the incisors in rats.,6,4
Effects of cortisone and COMPOUND on poisoning by typhoid METABOLITE in the mouse.,6,4
Application of glutamic acid in intracranial PHENOTYPE in FINDINGS infants.,11,2
Analysis of the causes of SIDE_EFFECT in the neonatal GENE syndrome.,11,2
The relation between SIDE_EFFECT and PHENOTYPE of the unirary tract.,3,5
The route of absorption of orally administered METABOLITE in a patient with SIDE_EFFECT.,6,4
Catalysis of the oxidation of COMPOUND to cystamine by the sulfur-sulfide GENE.,5,3
SIDE_EFFECT and acquired pathology of color vision in the clinical picture of various PHENOTYPE of the optic nerve.,3,5
Evaluation of concentrations of serum GENE in hepatitis and PHENOTYPE.,11,2
The three main components of the 1.5-2s ultracentrifugal peak of carp myogen (GENE GENE) have been isolated by ammonium sulphate fractionation and zone electrophoresis.,2,5
On the amino acid composition of the proteins of GENE and sheep GENE.,2,5
Experimental heterologous GENE transfusion induced SIDE_EFFECT in white rats resulting in pulmonary edema.,1,3
Bioptic study of material from GENE resection for SIDE_EFFECT.,6,4
Biermer's PHENOTYPE; recovery symptomatic anemia; SIDE_EFFECT and reflux of esophagus.,8,5
The COMPOUND produced by fibroblasts of the above GENEs in GENE culture was not fully sulfated.,31,2
Action of oxidation products of yperite (dichloroethyl METABOLITE) on the bronchial musculature of the guinea GENE.,8,5
Possibilities and limitations of diuretic medication in PHENOTYPE with SIDE_EFFECT and edema.,6,4
Peroral compared with parenteral COMPOUND administration in acute SIDE_EFFECT.,6,4
Chemotherapy in malignant PHENOTYPE of FINDINGS.,6,4
SYMPTOMS puriform PHENOTYPE in rheumatic pleuropulmonary diseases.,7,6
Effect of deafferentation of the PHENOTYPE on an epileptiform FINDINGS induced in the frog by cold.,3,5
Experiences with GENE resection for SIDE_EFFECT.,6,4
Vitamin B12 in PHENOTYPE of the PHENOTYPE.,11,2
Inhibition of citGENEe oxidation by COMPOUND in GENE liver homogenates.,5,3
Effects of PHENOTYPE hormones on uptake of labelled iodides in normal and hypophysectomized GENE PHENOTYPEs.,2,5
The influences of insulin on the hepatic BIOLOGICAL_PROCESS of COMPOUND.,5,3
Strontium 85 metabolism in man and effect of calcium on COMPOUND PHENOTYPE.,13,2
Serum sickness following injection of SIDE_EFFECT antitoxin as an unusual cause of cardiac PHENOTYPE with eosinophil myocarditis.,12,2
Preliminary research on the elimination of COMPOUND in PHENOTYPE.,11,2
Local injection of COMPOUND TBA in the treatment of PHENOTYPE.,6,4
This lung GENE is similar to plasma GENE in all properties studied.,8,5
The kinetics of the production of COMPOUND and hydrocyanic acid from METABOLITE by the action of the beta-glucosidase preparation favour the probability that three different enzymes are involved.,31,2
Corticotropin (GENE) and METABOLITE hormones during operative stress in endocrine disease.,11,2
The effect of exercise in the recumbent position on the renal PHENOTYPE and sodium PHENOTYPE in normal individuals.,1,3
Thioproperazine was less potent than chlorpromazine in lowering blood FINDINGS and antagonizing METABOLITE in the cat.,6,4
A renal tubular epithelial antigen is deposited in association with gamma GENE and complement in glomeruli from rats with experimental allergic SIDE_EFFECT induced by immunization with renal tubular antigens.,1,3
Influence of COMPOUND and promethazine on vomiting induced with COMPOUND in man.,12,2
Mechanism of appearance of SYMPTOMS in hypertension and SIDE_EFFECT.,7,6
Studies on the effect of METABOLITE in mice. I. Experimental provocation of latent SIDE_EFFECT.,6,4
METABOLITE and COMPOUND content in various photosynthesizing microorganisms.,3,5
Occurrence of cholesterol and PHENOTYPE of oestrogen in the infantile rat GENE.,3,5
SIDE_EFFECT provoked by the intracranial administration of typhus endotoxin to previously-infected guinea GENE; variations in the meningo-encephalitis according to the period of previous experimental typhus infection.,7,6
A compound of SIDE_EFFECT virus with GENE and protamine.,2,5
Changes in chick embryo PHENOTYPE under the effect of monochromatic light during early BIOLOGICAL_PROCESS.,7,6
Plasmapheresis in acute METABOLITE SIDE_EFFECT (research experiment).,6,4
Steroid therapy of PHENOTYPE of the anterior GENE chamber.,3,5
Suppression of rabbit GENE histidine decarboxylase activity by METABOLITE.,15,2
A trial treatment of PHENOTYPE with a domestic antibiotic--usninic acid sodium GENE.,6,4
Effect of PHENOTYPE COMPOUND on cholesterol and phospholipid metabolism in the rabbit.,5,3
The treatment of acute PHENOTYPE of the esophagus with METABOLITE.,6,4
Adrenalectomy and ovariectomy in PHENOTYPE with PHENOTYPE.,2,5
Insulin activity in the portal GENE and venous GENE of the rabbit after insulin-.,2,5
The effect of SIDE_EFFECT of EEG and on susceptibility to PHENOTYPE.,13,2
Cytology and colposcopy in SIDE_EFFECT screening for PHENOTYPE.,6,4
The ratio of specific activity of (3)H in methyl groups from choline to (14)C in methyl groups from COMPOUND in hepatic METABOLITE was lower than in hepatic linoleoyl lecithin.,34,1
The effects of single doses of ethionine or sodium COMPOUND on the nicotinamide-adenine dinucleotide content of rat GENE have been studied.,2,5
Prognosis of SIDE_EFFECT occurring after radiotherapy and radical surgery in PHENOTYPE.,7,6
The role of COMPOUND in blood PHENOTYPE.,13,2
Role of SIDE_EFFECT in the circulatory responses to acute GENE in man.,5,3
Plasma volume and total circulating GENE in PHENOTYPE.,11,2
Cellular permeability and GENE formation of COMPOUND in Brevibacterium flavum.,3,5
The suppressive effect of the leucocytic PHENOTYPE GENE shown by histologie studies to involve phagocytosis.,2,5
Cytochemistry of METABOLITE in hypophysis of castGENEed GENE.,2,5
GENE amino benzoic acid in PHENOTYPE.,6,4
METABOLITE and COMPOUND therapy of cardiac insufficiency.,6,4
Changes in glucose and lactate content of ascites fluid and blood GENE during PHENOTYPE and decay of the ELD ascites tumour.,3,5
Treatment of SIDE_EFFECT due to PHENOTYPE; a preliminary report.,12,2
Serum GENE and SIDE_EFFECT in inductees.,3,5
Virilizing hilus GENE tumors of the human ovary with a review of GENE hilus GENEs and evidence of their androgenic function.,3,5
Influence of iproniazid on METABOLITE content in gastric wall GENE under experimental dystrophy.,5,3
Physiological studies in congenital heart disease; PHENOTYPE to GENE in congenital heart disease with cyanosis.,7,6
Protection afforded by COMPOUND against acute GENE syndrome in rats after x-irradiation.,3,5
Effect of ketone acids on COMPOUND and fat BIOLOGICAL_PROCESS in adipose tissue of the rat.,5,3
Influence of transcortin and albumin on the rate of reduction of COMPOUND on human GENE 20-alpha-hydroxysteroid dehydrogenase.,5,3
Protein metabolism and influence of extra GENE on the growth of and GENE metabolism in boarding school children.,13,2
Watch GENE nails and drumstick fingers in PHENOTYPE. A case report and a physiopathologic study.,7,6
Attempts at application of PHENOTYPE feedback in the therapy of SIDE_EFFECT.,6,4
Pyelonephritis & hydronephrosis as a cause of PHENOTYPE PHENOTYPE.,8,5
Partial GENE infarct and SIDE_EFFECT as a consequence of ligation of accessory vessels. II.,12,2
Effect of METABOLITE on GENE excretion of salicylate.,13,2
After the addition of ethanol to the perfusion GENE PHENOTYPE ceased almost completely.,3,5
Various aspects of GENE and glycoGENE metabolism in the blood of the coronary venous sinus after acute experimental GENE of the myocardium.,3,5
The increase of COMPOUND in PHENOTYPE patients.,6,4
Anatomic and histologic changes in rabbits with experimental hypersensitivity treated with METABOLITE and GENE.,6,4
Propagation of the contraction GENE in the GENE.,1,3
The effect of COMPOUND therapy on the protein and lipoprotein fraction of the blood GENE in arteriosclerosis.,9,4
Cutaneous PHENOTYPE due to COMPOUND.,12,2
A new type of drug enhancement: increased maximum PHENOTYPE to cumulative noradrenaline in the isolated GENE vas deferens.,2,5
The effect of GENE on the eosinophil count in GENE.,6,4
Aureobasidium pullulans GENE the dominant PHENOTYPE in crust at all temperatures of isolation.,8,5
The effect of increased levels of COMPOUND on cardiac GENE studies with the aid of intracellular microelectrodes.,13,2
The influence of dietary GENE and riboflavin on the formation of spontaneous hepatomas GENE.,3,5
Experiments are described in which tanned red cells coated with a globulin fraction of human GENE with a high titre of antibody to human thyroglobulin were agglutinated by saline extracts of human PHENOTYPE gland and thyroglobulin but not by other tissue extracts.,2,5
